scene,dataset,n,r2,rho,rho_orig,mae
Barn,tt,3100,-0.6302685989416583,0.47518523861456413,0.47518523861456413,5.514396823542087
Church,tt,8850,0.4501034149505657,0.5568545148831083,0.5568545148831083,5.775242367503578
Family,tt,4250,-3.117239096466295,0.7253104526521266,0.7253104526521266,5.325782721892679
Francis,tt,3100,-1.2704927781988977,0.4290239738544482,0.4290239738544482,4.068128399568638
Horse,tt,2410,-4.3063647204540665,0.6587608458985874,0.6587608458985874,4.775709720093078
Ignatius,tt,2520,-0.6743811524514516,0.4059083885629367,0.4059083885629367,5.114702179729159
Museum,tt,1950,-3.4116461154651674,0.5493648700347017,0.5493648700347017,9.089103015346023
flower,llff,432,-6.344519648079806,0.7111437196786308,0.7111437196786308,5.953034860089902
fortress,llff,616,-9.072699360257316,0.4886062514353386,0.4886062514353386,9.086140569719785
horns,llff,1076,-0.20289322593902326,0.42405355177012566,0.42405355177012566,3.056374918808494
leaves,llff,248,-7.525851400350788,0.37017110014596677,0.37017110014596677,2.9313028272623862
orchids,llff,225,-2.5819700935543013,0.3742073090801106,0.3742073090801106,1.8866649517062717
room,llff,593,-0.36510804336741765,0.17773715827702374,0.17773715827702374,4.264582369138567
trex,llff,915,-0.050482394550446896,0.4011971156240828,0.4011971156240828,3.5002601084870886
