scene,dataset,n,r2_z,rho_z,rho_orig,mae_z
Barn,tt,3100,0.3276175849931221,0.6316273648403555,0.6316273648403555,0.6317290074796502
Church,tt,8850,-0.05107053999987876,0.8424917932620289,0.8424917932620289,0.9255350351764503
Family,tt,4250,0.3681512185075769,0.8015808786121837,0.8015808786121837,0.6108949347380515
Francis,tt,3100,0.5743943830602198,0.8199351591924757,0.8199351591924757,0.5092517506757903
Horse,tt,2410,0.5565551268307547,0.773192191776762,0.773192191776762,0.4864929296406148
Ignatius,tt,2520,0.17512382885393385,0.5262756105172656,0.5262756105172656,0.7217536628155472
Museum,tt,1950,0.38453195297491183,0.6905399041606747,0.6905399041606747,0.5825046848700125
flower,llff,432,0.30375054656096134,0.5877992010777114,0.5877992010777114,0.6406025193384163
fortress,llff,616,0.02643517892217051,0.5374250057543278,0.5374250057543278,0.8169836804035903
horns,llff,1076,0.2196208201652966,0.5858984628119445,0.5858984628119445,0.7208373287581221
leaves,llff,248,-0.2417334605754311,0.49461792879782635,0.49461792879782635,0.9569012914136347
orchids,llff,225,-0.12863174814036737,0.5414774243064674,0.5414774243064674,0.8798283784075981
room,llff,593,0.3009746901681778,0.5444390123772076,0.5444390123772076,0.6689503439227805
trex,llff,915,0.38903634987245794,0.6534388766466012,0.6534388766466012,0.6005776782392301
