scene,dataset,n,r2_mean,r2_std,rho_mean,rho_std
Ballroom,tt,3100,0.7214835614415197,0.023721863347315277,0.8447086847332654,0.013777597499206061
Barn,tt,3100,0.5614618276057446,0.01953588593065182,0.8105428752271466,0.002243549850587495
Church,tt,8850,0.9673731915343413,0.0056836052736534545,0.9814816389315777,0.001764303839241251
Family,tt,4250,0.8692732005792319,0.010303950643178572,0.9305666749091308,0.0029548448399162545
Francis,tt,3100,0.745599252963979,0.0216821290298073,0.8970353701270785,0.005262915575116316
Horse,tt,2410,0.8763813722715957,0.019316768313059222,0.9070168536313241,0.009417154323438693
Ignatius,tt,2520,0.6470796114202184,0.031778013632429464,0.8053742414218542,0.015125921061915066
Museum,tt,1950,0.6292830861011437,0.036401673311554236,0.8316796376608057,0.01707140184184161
fern,llff,130,0.7098580572028859,0.02772083858819705,0.8246724728165166,0.04328033610989782
flower,llff,432,0.677841335285902,0.05969970958907237,0.8737466400576211,0.021935164327589626
fortress,llff,616,0.8110210987481276,0.0350462567733397,0.8971865581603964,0.03189032553172986
horns,llff,1076,0.41979200986545423,0.06535934000890023,0.7190034616773703,0.028711612289339473
leaves,llff,248,0.805615466457221,0.11105273851905255,0.8758992137633564,0.05665888184893999
orchids,llff,225,0.7178744561754844,0.08006279648681436,0.8165702032222144,0.04808426016537657
room,llff,593,0.5838838625208028,0.06936761325416929,0.7585405839625821,0.048509369905550506
trex,llff,915,0.4555907557434943,0.08909441026707557,0.730251574075882,0.03812340872911037
